Row	BroodID	PopID	BreedingSeason	Species	Plot	LocationID	FemaleID	MaleID	ClutchType_observed	ClutchType_calculated	LayDate	LayDateError	ClutchSize	ClutchSizeError	HatchDate	HatchDateError	BroodSize	BroodSizeError	FledgeDate	FledgeDateError	NumberFledged	NumberFledgedError	AvgEggMass	NumberEggs	AvgChickMass	NumberChicksMass	AvgTarsus	NumberChicksTarsus	ExperimentID
8084	2016_rou_15_1	ROU	2016	CYACAE	rou	rou_15_NB	7531868	7532342	first	first	01/04/2016	NA	14	NA	28/04/2016	NA	14	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
8085	2016_rou_232_1	ROU	2016	CYACAE	rou	rou_232_NB	7531919	7209755	first	first	02/04/2016	NA	12	NA	26/04/2016	NA	11	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA
8086	2016_rou_101_1	ROU	2016	CYACAE	rou	rou_101_NB	7531983	6989937	first	first	08/04/2016	NA	12	NA	02/05/2016	NA	12	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA
8087	2016_rou_327_1	ROU	2016	CYACAE	rou	rou_327_NB	7532021	6402453	first	first	14/04/2016	NA	10	NA	07/05/2016	NA	10	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
8088	2016_pir_5_1	PIR	2016	CYACAE	pir	pir_5_NB	7532031	7530632	first	first	06/05/2016	NA	6	NA	25/05/2016	NA	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
8089	2016_rou_307_1	ROU	2016	CYACAE	rou	rou_307_NB	7532040	7209936	first	first	01/04/2016	NA	11	NA	26/04/2016	NA	8	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA
8090	2016_rou_323_1	ROU	2016	CYACAE	rou	rou_323_NB	7532184	6988844	first	first	03/04/2016	NA	11	NA	28/04/2016	NA	11	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
8091	2016_rou_229_3	ROU	2016	CYACAE	rou	rou_229_NB	7532376	7717797	replacement	replacement	04/05/2016	NA	7	NA	25/05/2016	NA	7	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA
8092	2016_fil_25_1	MUR	2016	CYACAE	fil	fil_25_NB	7532414	7208460	first	first	15/04/2016	NA	6	NA	03/05/2016	NA	6	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA
8093	2016_gra_1_1	MUR	2016	CYACAE	gra	gra_1_NB	7532421	7717563	first	replacement	21/04/2016	NA	4	NA	08/05/2016	NA	4	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA
